Country,Localite,Category,Value,Date
Guinea,Dinguiraye ,Cases,1,04/23/14
Guinea,Dinguiraye ,Deaths,1,04/23/14
Guinea,Gueckedou,Cases,127,04/23/14
Guinea,Gueckedou,Deaths,91,04/23/14
Guinea,Kissidougou,Cases,6,04/23/14
Guinea,Kissidougou,Deaths,5,04/23/14
Guinea,Macenta,Cases,22,04/23/14
Guinea,Macenta,Deaths,16,04/23/14
Guinea,National,Cases,218,04/23/14
Guinea,National,Confirmed cases,115,04/23/14
Guinea,National,Deaths,141,04/23/14
Liberia,Bong County,Cases,6,04/23/14
Liberia,Bong County,Deaths,0,04/23/14
Liberia,Grand Cape Mount,Cases,1,04/23/14
Liberia,Grand Cape Mount,Deaths,0,04/23/14
Liberia,Grand Gedeh,Cases,3,04/23/14
Liberia,Grand Gedeh,Deaths,0,04/23/14
Liberia,Lofa County,Cases,11,04/23/14
Liberia,Lofa County,Deaths,7,04/23/14
Liberia,Margibi County,Cases,4,04/23/14
Liberia,Margibi County,Deaths,3,04/23/14
Liberia,Montserrado County,Cases,3,04/23/14
Liberia,Montserrado County,Deaths,1,04/23/14
Liberia,National,Cases,35,04/23/14
Liberia,National,Confirmed cases,6,04/23/14
Liberia,National,Deaths,11,04/23/14
Liberia,Nimba County,Cases,7,04/23/14
Liberia,Nimba County,Deaths,0,04/23/14
Liberia,National,Cases,35,04/24/14
Liberia,National,Confirmed cases,6,04/24/14
Liberia,National,Deaths,11,04/24/14
Guinea,Conakry,Cases,60,04/26/14
Guinea,Conakry,Deaths,24,04/26/14
Guinea,Dabola ,Cases,4,04/26/14
Guinea,Dabola ,Deaths,4,04/26/14
Guinea,Dinguiraye ,Cases,1,04/26/14
Guinea,Dinguiraye ,Deaths,1,04/26/14
Guinea,Gueckedou,Cases,131,04/26/14
Guinea,Gueckedou,Deaths,93,04/26/14
Guinea,Kissidougou,Cases,6,04/26/14
Guinea,Kissidougou,Deaths,5,04/26/14
Guinea,Macenta,Cases,22,04/26/14
Guinea,Macenta,Deaths,16,04/26/14
Guinea,National,Cases,224,04/26/14
Guinea,National,Confirmed cases,121,04/26/14
Guinea,National,Deaths,143,04/26/14
Guinea,Conakry,Cases,53,05/01/14
Guinea,Conakry,Deaths,24,05/01/14
Guinea,Dabola ,Cases,4,05/01/14
Guinea,Dabola ,Deaths,4,05/01/14
Guinea,Dinguiraye ,Cases,1,05/01/14
Guinea,Dinguiraye ,Deaths,1,05/01/14
Guinea,Gueckedou,Cases,140,05/01/14
Guinea,Gueckedou,Deaths,99,05/01/14
Guinea,Kissidougou,Cases,6,05/01/14
Guinea,Kissidougou,Deaths,5,05/01/14
Guinea,Macenta,Cases,22,05/01/14
Guinea,Macenta,Deaths,16,05/01/14
Guinea,National,Cases,226,05/01/14
Guinea,National,Confirmed cases,127,05/01/14
Guinea,National,Deaths,149,05/01/14
Liberia,Bong County,Cases,1,05/02/14
Liberia,Lofa County,Cases,7,05/02/14
Liberia,Margibi County,Cases,2,05/02/14
Liberia,Montserrado County,Cases,1,05/02/14
Liberia,National,Cases,13,05/02/14
Liberia,National,Confirmed cases,6,05/02/14
Liberia,National,Deaths,11,05/02/14
Liberia,Nimba County,Cases,2,05/02/14
Guinea,Conakry,Cases,53,05/03/14
Guinea,Conakry,Deaths,24,05/03/14
Guinea,Dabola ,Cases,4,05/03/14
Guinea,Dabola ,Deaths,4,05/03/14
Guinea,Dinguiraye ,Cases,1,05/03/14
Guinea,Dinguiraye ,Deaths,1,05/03/14
Guinea,Gueckedou,Cases,145,05/03/14
Guinea,Gueckedou,Deaths,105,05/03/14
Guinea,Kissidougou,Cases,6,05/03/14
Guinea,Kissidougou,Deaths,5,05/03/14
Guinea,Macenta,Cases,22,05/03/14
Guinea,Macenta,Deaths,16,05/03/14
Guinea,National,Cases,231,05/03/14
Guinea,National,Confirmed cases,127,05/03/14
Guinea,National,Deaths,155,05/03/14
Guinea,Conakry,Cases,53,05/05/14
Guinea,Conakry,Deaths,24,05/05/14
Guinea,Dabola ,Cases,4,05/05/14
Guinea,Dabola ,Deaths,4,05/05/14
Guinea,Dinguiraye ,Cases,1,05/05/14
Guinea,Dinguiraye ,Deaths,1,05/05/14
Guinea,Gueckedou,Cases,149,05/05/14
Guinea,Gueckedou,Deaths,107,05/05/14
Guinea,Kissidougou,Cases,6,05/05/14
Guinea,Kissidougou,Deaths,5,05/05/14
Guinea,Macenta,Cases,22,05/05/14
Guinea,Macenta,Deaths,16,05/05/14
Guinea,National,Cases,235,05/05/14
Guinea,National,Confirmed cases,127,05/05/14
Guinea,National,Deaths,157,05/05/14
Guinea,Conakry,Cases,53,05/07/14
Guinea,Conakry,Deaths,24,05/07/14
Guinea,Dabola ,Cases,4,05/07/14
Guinea,Dabola ,Deaths,4,05/07/14
Guinea,Dinguiraye ,Cases,1,05/07/14
Guinea,Dinguiraye ,Deaths,1,05/07/14
Guinea,Gueckedou,Cases,151,05/07/14
Guinea,Gueckedou,Deaths,108,05/07/14
Guinea,Kissidougou,Cases,6,05/07/14
Guinea,Kissidougou,Deaths,5,05/07/14
Guinea,Macenta,Cases,22,05/07/14
Guinea,Macenta,Deaths,16,05/07/14
Guinea,National,Cases,236,05/07/14
Guinea,National,Confirmed cases,129,05/07/14
Guinea,National,Deaths,158,05/07/14
Liberia,Bong County,Cases,1,05/09/14
